"day","from","to","value"
"236","1","4",2.9825032
"237","1","4",2.977652
"238","1","4",2.9555678
"239","1","4",2.9632647
"240","1","4",2.977931
"241","1","4",3.0054348
"242","1","4",2.9727228
"243","1","4",2.8885655
"244","1","4",2.9901826
"245","1","4",2.981884
"246","1","4",2.987949
"247","1","4",2.9768958
"248","1","4",2.9423952
"249","1","4",2.9452271
"250","1","4",2.9146197
"251","1","4",2.9487827
"252","1","4",2.982171
"232","2","4",7.266322
"233","2","4",7.250993
"234","2","4",7.277643
"235","2","4",7.2816577
"236","2","4",7.248369
"237","2","4",7.2523746
"238","2","4",7.1830106
"239","2","4",7.277601
"240","2","4",7.2631984
"241","2","4",7.2751813
"242","2","4",7.2437105
"243","2","4",7.1751776
"244","2","4",7.3022633
"245","2","4",7.2934628
"246","2","4",7.278536
"247","2","4",7.267303
"248","2","4",7.206876
"249","2","4",7.210111
"250","2","4",7.182322
"251","2","4",7.202753
"252","2","4",7.2094126
"232","3","4",9.642711
"233","3","4",9.63427
"234","3","4",9.696216
"235","3","4",9.648367
"236","3","4",9.55229
"237","3","4",9.603533
"238","3","4",9.519225
"239","3","4",9.620182
"240","3","4",9.577483
"241","3","4",9.556051
"242","3","4",9.563209
"243","3","4",9.539145
"244","3","4",9.607599
"245","3","4",9.609879
"246","3","4",9.593434
"247","3","4",9.59952
"248","3","4",9.566535
"249","3","4",9.566085
"250","3","4",9.444735
"251","3","4",9.550718
"252","3","4",9.49163
"232","4","4",9.583862
"233","4","4",9.563077
"234","4","4",9.581318
"235","4","4",9.572505
"236","4","4",9.637024
"237","4","4",9.59562
"238","4","4",9.529321
"239","4","4",9.5706005
"240","4","4",9.5857725
"241","4","4",9.587658
"242","4","4",9.578034
"243","4","4",9.528339
"244","4","4",9.576867
"245","4","4",9.569532
"246","4","4",9.572803
"247","4","4",9.555044
"248","4","4",9.568596
"249","4","4",9.582804
"250","4","4",9.580083
"251","4","4",9.614315
"252","4","4",9.615588
"232","5","4",7.4270463
"233","5","4",7.455763
"234","5","4",7.445244
"235","5","4",7.4586654
"236","5","4",7.4504995
"237","5","4",7.458883
"238","5","4",7.4703274
"239","5","4",7.468878
"240","5","4",7.4773493
"241","5","4",7.474092
"242","5","4",7.476219
"243","5","4",7.4920974
"244","5","4",7.462778
"245","5","4",7.4720135
"246","5","4",7.474797
"247","5","4",7.478088
"248","5","4",7.4796324
"249","5","4",7.461648
"250","5","4",7.421326
"251","5","4",7.432502
"252","5","4",7.410862
"232","0","5",5.6699724
"233","0","5",5.676539
"234","0","5",5.6493497
"235","0","5",5.666041
"236","0","5",5.7160325
"237","0","5",5.6896224
"238","0","5",5.7270017
"239","0","5",5.679766
"240","0","5",5.7000046
"241","0","5",5.70572
"242","0","5",5.7066293
"243","0","5",5.723637
"244","0","5",5.6829715
"245","0","5",5.682397
"246","0","5",5.6888556
"247","0","5",5.6857266
"248","0","5",5.712488
"249","0","5",5.716995
"250","0","5",5.7739344
"251","0","5",5.738205
"252","0","5",5.762841
"232","1","5",4.395182
"233","1","5",4.3672185
"234","1","5",4.4341397
"235","1","5",4.444756
"236","1","5",4.4222035
"237","1","5",4.4410343
"238","1","5",4.276715
"239","1","5",4.4146953
"240","1","5",4.421398
"241","1","5",4.4258423
"242","1","5",4.4003077
"243","1","5",4.3222537
"244","1","5",4.473977
"245","1","5",4.451229
"246","1","5",4.439347
"247","1","5",4.4098883
"248","1","5",4.3826723
"249","1","5",4.3311396
"250","1","5",4.247978
"251","1","5",4.3652406
"252","1","5",4.3147416
"232","2","5",8.5137615
"233","2","5",8.490102
"234","2","5",8.553049
"235","2","5",8.512747
"236","2","5",8.462013
"237","2","5",8.489155
"238","2","5",8.399033
"239","2","5",8.509779
"240","2","5",8.490501
"241","2","5",8.461727
"242","2","5",8.479174
"243","2","5",8.496612
"244","2","5",8.50148
"245","2","5",8.508622
"246","2","5",8.489972
"247","2","5",8.488517
"248","2","5",8.494352
"249","2","5",8.478087
"250","2","5",8.341085
"251","2","5",8.476941
"252","2","5",8.385038
"232","3","5",10.518016
"233","3","5",10.545681
"234","3","5",10.535785
"235","3","5",10.533021
"236","3","5",10.449305
"237","3","5",10.487851
"238","3","5",10.51207
"239","3","5",10.529188
"240","3","5",10.48768
"241","3","5",10.499453
"242","3","5",10.48439
"243","3","5",10.450039
"244","3","5",10.524316
"245","3","5",10.524232
"246","3","5",10.510939
"247","3","5",10.528158
"248","3","5",10.45693
"249","3","5",10.501019
"250","3","5",10.424223
"251","3","5",10.476059
"252","3","5",10.483348
"232","4","5",6.408078
"233","4","5",6.3748207
"234","4","5",6.4407105
"235","4","5",6.4317465
"236","4","5",6.458114
"237","4","5",6.4350057
"238","4","5",6.311794
"239","4","5",6.4290695
"240","4","5",6.443935
"241","4","5",6.432401
"242","4","5",6.424656
"243","4","5",6.393841
"244","4","5",6.445931
"245","4","5",6.44492
"246","4","5",6.437045
"247","4","5",6.411368
"248","4","5",6.418505
"249","4","5",6.3843265
"250","4","5",6.325335
"251","4","5",6.4026175
"252","4","5",6.355987
"232","5","5",5.1074257
"233","5","5",5.0562286
"234","5","5",5.1543207
"235","5","5",5.1059217
"236","5","5",5.0691814
"237","5","5",5.083006
"238","5","5",4.936769
"239","5","5",5.079614
"240","5","5",5.0615506
"241","5","5",5.036186
"242","5","5",5.039599
"243","5","5",5.0093827
"244","5","5",5.082801
"245","5","5",5.079499
"246","5","5",5.0657325
"247","5","5",5.050066
"248","5","5",5.0412493
"249","5","5",5.0113187
"250","5","5",4.930097
"251","5","5",5.015069
"252","5","5",4.942505
