"Var1","Var2","Var3","Var4","value"
"H","C","C","A",0.427206142054998
"I","C","C","A",0.822915584595563
"J","C","C","A",0.857925965193654
"K","C","C","A",1.67160088895958
"L","C","C","A",1.4294245426671
"M","C","C","A",0.935612858669116
"N","C","C","A",0.597710492360518
"O","C","C","A",0.903244560595591
"P","C","C","A",0.49384269552356
"Q","C","C","A",1.22506757126168
"R","C","C","A",0.25109103510208
"S","C","C","A",0.366608816287979
"T","C","C","A",0.439134049157235
"U","C","C","A",0.861042392402288
"A","D","C","A",0.113436871909966
"B","D","C","A",0.455879362505636
"C","D","C","A",1.27256842326602
"D","D","C","A",1.06084687321196
"E","D","C","A",1.10418723071327
"F","D","C","A",1.72039981038597
"G","D","C","A",1.03816433330971
"H","D","C","A",0.40457676005238
"I","D","C","A",2.1921698958474
"J","D","C","A",1.16485646426375
"K","D","C","A",1.60145653456864
"L","D","C","A",1.02696068139177
"M","D","C","A",0.958077470523639
"N","D","C","A",0.792242682090728
"O","D","C","A",0.766661013109438
"P","D","C","A",1.25287858622762
"Q","D","C","A",0.703758210387593
"R","D","C","A",0.220028312923289
"S","D","C","A",0.355939100040928
"T","D","C","A",0.269059102690951
"U","D","C","A",0.67552809636673
"A","E","C","A",0.0132560084521721
"B","E","C","A",1.0318543812303
"C","E","C","A",0.896788158378672
"D","E","C","A",1.30911788350615
"E","E","C","A",0.842363650525735
"F","E","C","A",1.70748961566459
"G","E","C","A",0.683137701586173
"H","E","C","A",0.679827426975917
"I","E","C","A",0.948269960617356
"J","E","C","A",1.43979831415066
"K","E","C","A",1.54297981035028
"L","E","C","A",1.1235673504246
"M","E","C","A",0.942026952725997
"N","E","C","A",0.916882451744428
"O","E","C","A",1.01214902598999
"P","E","C","A",0.588042771449478
"Q","E","C","A",1.33155562766494
"R","E","C","A",0.269728363511693
"S","E","C","A",0.418830846639823
"T","E","C","A",0.760542261824891
"U","E","C","A",0.959748712948362
"A","F","C","A",0.220040534040888
"B","F","C","A",0.127174777242162
"C","F","C","A",0.117916427723413
"D","F","C","A",0.427503810216709
"E","F","C","A",0.385217666759907
"F","F","C","A",0.865207748128167
"G","F","C","A",0.242598127543479
"H","F","C","A",0.130844684191648
"I","F","C","A",1.58424234016037
"J","F","C","A",0.486394931823623
"K","F","C","A",0.542284631536815
"L","F","C","A",0.3343584699228
"M","F","C","A",0.377683321074133
"N","F","C","A",0.442990260243612
"O","F","C","A",0.186658878877813
"P","F","C","A",0.230083108814411
"Q","F","C","A",0.621084243821549
"R","F","C","A",-0.0417672653408945
"S","F","C","A",0.0192053086483316
"T","F","C","A",0.105678452217518
"U","F","C","A",0.390571719547262
"A","A","D","A",1.35173816199262
"B","A","D","A",7.07078499732489
"C","A","D","A",8.22394503801635
"D","A","D","A",9.07421373147749
"E","A","D","A",9.67765606322922
"F","A","D","A",12.4080356244732
"G","A","D","A",13.7411952872549
"H","A","D","A",6.4623421638308
"I","A","D","A",10.4602868989643
"J","A","D","A",9.22369338602699
"K","A","D","A",9.54447571931532
"L","A","D","A",12.017509269529
"M","A","D","A",10.7173531075277
"N","A","D","A",8.70266857731968
"O","A","D","A",9.31994520091857
"P","A","D","A",6.27754103198824
"Q","A","D","A",9.98559095840961
"R","A","D","A",4.19505455446408
"S","A","D","A",5.3125565371926
"T","A","D","A",4.69012308266144
"U","A","D","A",7.56504249546069
"A","B","D","A",1.74781073284394
"B","B","D","A",11.2316430994071
"C","B","D","A",14.2023002965364
"D","B","D","A",11.2894267097175
"E","B","D","A",14.8872764366242
"F","B","D","A",13.8457524400212
"G","B","D","A",13.9069583499894
"H","B","D","A",11.7412387661306
"I","B","D","A",17.2125395134853
"J","B","D","A",13.4724958482869
"K","B","D","A",14.2399196913677
"L","B","D","A",11.9783416531273
"M","B","D","A",12.1910097971412
"N","B","D","A",11.3146645972931
"O","B","D","A",13.4943207300615
"P","B","D","A",9.52372158224879
"Q","B","D","A",12.0205779738655
"R","B","D","A",5.07704175644281
"S","B","D","A",7.72359225864183
"T","B","D","A",6.9973084253072
"U","B","D","A",10.5652141526354
"A","C","D","A",1.00854539330722
"B","C","D","A",0.936422127943942
"C","C","D","A",1.00693153358055
"D","C","D","A",1.37681478913182
"E","C","D","A",0.955067173360229
"F","C","D","A",2.07303934475138
"G","C","D","A",1.41643607445836
"H","C","D","A",0.689314916917119
"I","C","D","A",1.0167304812162
"J","C","D","A",1.33710261237746
"K","C","D","A",1.93863260582487
"L","C","D","A",1.65887004935739
"M","C","D","A",1.75464942654423
"N","C","D","A",0.806666452090893
"O","C","D","A",1.06119003307383
"P","C","D","A",1.17731267049442
"Q","C","D","A",1.39262390960157
"R","C","D","A",-0.0591602783418046
"S","C","D","A",0.517074269384027
"T","C","D","A",0.828608899192627
"U","C","D","A",0.765694761292784
"A","D","D","A",0.534211911388524
"B","D","D","A",0.544671327030767
"C","D","D","A",1.11078536031994
"D","D","D","A",0.589225124610214
"E","D","D","A",0.676563027337979
"F","D","D","A",1.59308646598691
"G","D","D","A",1.53369390119311
"H","D","D","A",0.578924182802307
"I","D","D","A",2.03899438354028
"J","D","D","A",1.02886411946593
"K","D","D","A",2.40694419118064
"L","D","D","A",1.60109621041442
"M","D","D","A",1.62394772590804
"N","D","D","A",1.03469508595449
"O","D","D","A",1.06809438157319
"P","D","D","A",1.85860307872451
"Q","D","D","A",0.949451836845641
"R","D","D","A",0.0185646642665311
"S","D","D","A",0.641351923747122
"T","D","D","A",0.375983264668201
"U","D","D","A",0.605167093728238
"A","E","D","A",0.569270392959157
"B","E","D","A",0.974709669859098
"C","E","D","A",-0.257794237948534
"D","E","D","A",0.758862156344472
"E","E","D","A",0.516251902389635
"F","E","D","A",1.90789977457947
"G","E","D","A",1.0309326931648
"H","E","D","A",0.564973116644066
"I","E","D","A",0.592671746008386
"J","E","D","A",1.46751241674632
"K","E","D","A",1.38250921902975
"L","E","D","A",0.436294928528033
"M","E","D","A",1.32685805699828
"N","E","D","A",1.23556169891491
"O","E","D","A",0.357839260044407
"P","E","D","A",0.715539253577343
