"orig","dest","idx3","idx4","value"
"2","2","6","1",2.42380970408918
"3","2","6","1",5.24718937276147
"4","2","6","1",7.65523050532449
"5","2","6","1",4.78148979620291
"6","2","6","1",4.49906665789586
"1","3","6","1",20.6444448632415
"2","3","6","1",9.03884402762711
"3","3","6","1",9.31226040920328
"4","3","6","1",12.2028185655483
"5","3","6","1",8.35492500647098
"6","3","6","1",15.0847508692449
"1","4","6","1",15.7844961679597
"2","4","6","1",6.96583990283947
"3","4","6","1",8.27505885250917
"4","4","6","1",17.7460886175651
"5","4","6","1",11.0654831404631
"6","4","6","1",14.3027262925379
"1","5","6","1",8.29904970005265
"2","5","6","1",3.09050142419108
"3","5","6","1",5.16190832243842
"4","5","6","1",10.5297066839997
"5","5","6","1",11.5156367950533
"6","5","6","1",8.61808147347742
"1","6","6","1",9.81491540844511
"2","6","6","1",5.46041848269321
"3","6","6","1",8.04626788184064
"4","6","6","1",12.7939773387174
"5","6","6","1",6.96005453583281
"6","6","6","1",5.43788261220369
"1","1","7","1",4.83007339464686
"2","1","7","1",2.45013997361811
"3","1","7","1",9.21114748122723
"4","1","7","1",11.4798391908917
"5","1","7","1",8.23106564999187
"6","1","7","1",5.75341883903482
"1","2","7","1",5.40243958463165
"2","2","7","1",2.4238097135392
"3","2","7","1",5.24718937276147
"4","2","7","1",7.65522767361301
"5","2","7","1",4.78148979620666
"6","2","7","1",4.4990751356122
"1","3","7","1",20.6444448632415
"2","3","7","1",9.03649524332882
"3","3","7","1",9.71403434747233
"4","3","7","1",12.2027911710611
"5","3","7","1",8.35387692146837
"6","3","7","1",15.0847509189136
"1","4","7","1",15.7800983461353
"2","4","7","1",6.96583990283947
"3","4","7","1",8.27505884840054
"4","4","7","1",17.7460886173431
"5","4","7","1",11.0654831404246
"6","4","7","1",14.3027262925379
"1","5","7","1",8.29904970005265
"2","5","7","1",3.09050142419108
"3","5","7","1",5.16190696143932
"4","5","7","1",10.5290493890034
"5","5","7","1",11.5156367950533
"6","5","7","1",8.6180814822287
"1","6","7","1",9.81491540844511
"2","6","7","1",5.46041836900372
"3","6","7","1",8.04606585142062
"4","6","7","1",12.7906704814898
"5","6","7","1",6.96005453583281
"6","6","7","1",5.43788261220369
"1","1","8","1",4.74752623270171
"2","1","8","1",2.45014480607191
"3","1","8","1",9.21341910522376
"4","1","8","1",11.4798391908989
"5","1","8","1",8.23106564999187
"6","1","8","1",5.75341887588164
"1","2","8","1",5.40243958463166
"2","2","8","1",2.42380971409621
"3","2","8","1",5.24718937276147
"4","2","8","1",7.65522732427896
"5","2","8","1",4.78148979620668
"6","2","8","1",4.49907630146422
"1","3","8","1",20.6444448632415
"2","3","8","1",9.03484634172925
"3","3","8","1",9.67026354541062
"4","3","8","1",12.2027880998868
"5","3","8","1",8.35354381005993
"6","3","8","1",15.0847509220213
"1","4","8","1",15.77778596521
"2","4","8","1",6.96583990283947
"3","4","8","1",8.27505884832006
"4","4","8","1",17.7460886173427
"5","4","8","1",11.0654831404241
"6","4","8","1",14.3027262925379
"1","5","8","1",8.29904970005265
"2","5","8","1",3.09050142419108
"3","5","8","1",5.16190684870784
"4","5","8","1",10.5288509997594
"5","5","8","1",11.5156367950533
"6","5","8","1",8.61808148251859
"1","6","8","1",9.81491540844511
"2","6","8","1",5.46041836140386
"3","6","8","1",8.04599643537497
"4","6","8","1",12.7893827436435
"5","6","8","1",6.96005453583281
"6","6","8","1",5.43788261220369
"1","1","9","1",4.70848901929899
"2","1","9","1",2.45014601115149
"3","1","9","1",9.21527460363272
"4","1","9","1",11.4798391908991
"5","1","9","1",8.23106564999187
"6","1","9","1",5.75341887721426
"1","2","9","1",5.40243958463166
"2","2","9","1",2.42380971412904
"3","2","9","1",5.24718937276147
"4","2","9","1",7.65522728118336
"5","2","9","1",4.78148979620668
"6","2","9","1",4.4990764617917
"1","3","9","1",20.6444448632415
"2","3","9","1",9.03368877417951
"3","3","9","1",9.51125822159818
"4","3","9","1",12.2027877558192
"5","3","9","1",8.353437930678
"6","3","9","1",15.0847509221899
"1","4","9","1",15.7764723620099
"2","4","9","1",6.96583990283947
"3","4","9","1",8.27505884831909
"4","4","9","1",17.7460886173428
"5","4","9","1",11.0654831404241
"6","4","9","1",14.3027262925379
"1","5","9","1",8.29904970005265
"2","5","9","1",3.09050142419108
"3","5","9","1",5.1619068393703
"4","5","9","1",10.5287911205692
"5","5","9","1",11.5156367950533
"6","5","9","1",8.6180814825282
"1","6","9","1",9.81491540844511
"2","6","9","1",5.46041836093767
"3","6","9","1",8.04597258457371
"4","6","9","1",12.7888812799737
"5","6","9","1",6.96005453583281
"6","6","9","1",5.43788261220369
"1","1","10","1",4.72570059167535
"2","1","10","1",2.45014631166478
"3","1","10","1",9.2167902040802
"4","1","10","1",11.4798391908991
"5","1","10","1",8.23106564999187
"6","1","10","1",5.75341887718512
"1","2","10","1",5.40243958463166
"2","2","10","1",2.42380971413098
"3","2","10","1",5.24718937276147
"4","2","10","1",7.65522727586688
"5","2","10","1",4.78148979620668
"6","2","10","1",4.49907648383987
"1","3","10","1",20.6444448632415
"2","3","10","1",9.03287613464265
