"day","from","to","value"
"244","2","4",3.66366
"245","2","4",3.4938135
"246","2","4",3.2593691
"247","2","4",2.8853624
"248","2","4",3.0459027
"249","2","4",2.5903337
"250","2","4",2.713072
"251","2","4",2.9343963
"252","2","4",2.676566
"232","3","4",3.4211886
"233","3","4",4.4774156
"234","3","4",4.847921
"235","3","4",4.5691338
"236","3","4",4.568182
"237","3","4",4.2769547
"238","3","4",4.857993
"239","3","4",4.664755
"240","3","4",4.5855646
"241","3","4",4.8988156
"242","3","4",3.8259206
"243","3","4",4.982437
"244","3","4",4.644302
"245","3","4",4.4232125
"246","3","4",4.0691586
"247","3","4",3.6320324
"248","3","4",3.8836138
"249","3","4",3.2720773
"250","3","4",3.4588976
"251","3","4",3.660074
"252","3","4",3.4526165
"232","4","4",5.663899
"233","4","4",6.56449
"234","4","4",7.198202
"235","4","4",6.9457693
"236","4","4",6.801236
"237","4","4",6.4282894
"238","4","4",6.9519525
"239","4","4",6.7010355
"240","4","4",6.6998887
"241","4","4",7.162619
"242","4","4",6.002173
"243","4","4",7.1503243
"244","4","4",6.749513
"245","4","4",6.3386135
"246","4","4",6.2253776
"247","4","4",5.7769527
"248","4","4",6.084218
"249","4","4",5.414949
"250","4","4",5.529323
"251","4","4",5.784636
"252","4","4",5.5092115
"232","5","4",2.7871094
"233","5","4",3.8848279
"234","5","4",4.417814
"235","5","4",4.134818
"236","5","4",3.938282
"237","5","4",3.656584
"238","5","4",4.2151217
"239","5","4",4.0804234
"240","5","4",3.9481397
"241","5","4",4.2439795
"242","5","4",3.1948047
"243","5","4",4.3560667
"244","5","4",4.043903
"245","5","4",3.6065388
"246","5","4",3.406575
"247","5","4",3.0543911
"248","5","4",3.215028
"249","5","4",2.6046097
"250","5","4",2.7487342
"251","5","4",2.9853854
"252","5","4",2.8106072
"232","0","5",6.433667
"233","0","5",6.877216
"234","0","5",7.1267014
"235","0","5",6.888097
"236","0","5",7.092454
"237","0","5",6.8838077
"238","0","5",7.142918
"239","0","5",6.969825
"240","0","5",7.1053157
"241","0","5",7.1857452
"242","0","5",6.684638
"243","0","5",7.083019
"244","0","5",7.0713744
"245","0","5",6.938886
"246","0","5",6.7225304
"247","0","5",6.5072775
"248","0","5",6.655668
"249","0","5",6.2489467
"250","0","5",6.36833
"251","0","5",6.513003
"252","0","5",6.3185034
"232","1","5",4.9890695
"233","1","5",5.3815284
"234","1","5",5.568739
"235","1","5",5.526274
"236","1","5",5.5625353
"237","1","5",5.3591366
"238","1","5",5.547627
"239","1","5",5.4890537
"240","1","5",5.506389
"241","1","5",5.545867
"242","1","5",5.2393503
"243","1","5",5.565287
"244","1","5",5.498997
"245","1","5",5.3696876
"246","1","5",5.347477
"247","1","5",5.067717
"248","1","5",5.223161
"249","1","5",4.8650393
"250","1","5",4.9272523
"251","1","5",4.982139
"252","1","5",4.949634
"232","2","5",2.6591108
"233","2","5",3.248869
"234","2","5",3.7116764
"235","2","5",3.2952316
"236","2","5",3.3671627
"237","2","5",3.1121032
"238","2","5",3.5672247
"239","2","5",3.4531243
"240","2","5",3.5165565
"241","2","5",3.7385273
"242","2","5",2.7283375
"243","2","5",3.6296701
"244","2","5",3.5382948
"245","2","5",3.1762195
"246","2","5",3.0182188
"247","2","5",2.7474184
"248","2","5",2.8373196
"249","2","5",2.4474103
"250","2","5",2.600735
"251","2","5",2.7659597
"252","2","5",2.570919
"232","3","5",7.072763
"233","3","5",8.207364
"234","3","5",8.733122
"235","3","5",8.450623
"236","3","5",8.26371
"237","3","5",8.035989
"238","3","5",8.516366
"239","3","5",8.356386
"240","3","5",8.291051
"241","3","5",8.642133
"242","3","5",7.6163425
"243","3","5",8.658817
"244","3","5",8.374132
"245","3","5",7.983821
"246","3","5",7.8309913
"247","3","5",7.3800206
"248","3","5",7.554543
"249","3","5",6.800537
"250","3","5",6.9916964
"251","3","5",7.3607073
"252","3","5",7.0124917
"232","4","5",3.8799422
"233","4","5",4.908225
"234","4","5",5.288266
"235","4","5",5.1825757
"236","4","5",4.928255
"237","4","5",4.6304283
"238","4","5",5.1724377
"239","4","5",5.0077434
"240","4","5",4.894997
"241","4","5",5.1572294
"242","4","5",4.321134
"243","4","5",5.24292
"244","4","5",4.895051
"245","4","5",4.7704196
"246","4","5",4.541664
"247","4","5",4.030819
"248","4","5",4.332654
"249","4","5",3.638093
"250","4","5",3.871734
"251","4","5",4.1690288
"252","4","5",3.950532
"232","5","5",1.8908616
"233","5","5",2.3122756
"234","5","5",2.2679627
"235","5","5",2.2767577
"236","5","5",2.369313
"237","5","5",2.210209
"238","5","5",2.3156376
"239","5","5",2.394108
"240","5","5",2.4475977
"241","5","5",2.315976
"242","5","5",2.1063626
"243","5","5",2.248171
"244","5","5",2.3992121
"245","5","5",2.4177432
"246","5","5",2.3327112
"247","5","5",2.0781038
"248","5","5",2.0485373
"249","5","5",1.82369
"250","5","5",1.9450275
"251","5","5",1.9610021
"252","5","5",1.886426
