"day","from","to","value"
"251","1","3",6.265667
"252","1","3",6.3574095
"232","2","3",9.12739
"233","2","3",9.131652
"234","2","3",9.188838
"235","2","3",8.85565
"236","2","3",9.065738
"237","2","3",9.012488
"238","2","3",9.132859
"239","2","3",8.873637
"240","2","3",9.094847
"241","2","3",8.864129
"242","2","3",9.046959
"243","2","3",9.099827
"244","2","3",8.990367
"245","2","3",8.964714
"246","2","3",9.122631
"247","2","3",9.083752
"248","2","3",8.749486
"249","2","3",8.710358
"250","2","3",8.918059
"251","2","3",8.830171
"252","2","3",8.771133
"232","3","3",18.423264
"233","3","3",18.41201
"234","3","3",18.424675
"235","3","3",17.977629
"236","3","3",18.340534
"237","3","3",18.197325
"238","3","3",18.459438
"239","3","3",18.155907
"240","3","3",18.394228
"241","3","3",17.931759
"242","3","3",18.083715
"243","3","3",18.278173
"244","3","3",18.183687
"245","3","3",18.084587
"246","3","3",18.456993
"247","3","3",18.374784
"248","3","3",17.639122
"249","3","3",17.310514
"250","3","3",17.87462
"251","3","3",17.404531
"252","3","3",17.555649
"232","4","3",11.546406
"233","4","3",11.405476
"234","4","3",11.423231
"235","4","3",11.028783
"236","4","3",11.432591
"237","4","3",11.297388
"238","4","3",11.478101
"239","4","3",11.127725
"240","4","3",11.440485
"241","4","3",11.009581
"242","4","3",11.220336
"243","4","3",11.394195
"244","4","3",11.251608
"245","4","3",11.10268
"246","4","3",11.410077
"247","4","3",11.391608
"248","4","3",10.7551365
"249","4","3",10.525336
"250","4","3",11.071899
"251","4","3",10.600378
"252","4","3",10.650263
"232","5","3",14.607214
"233","5","3",14.577423
"234","5","3",14.589585
"235","5","3",14.441693
"236","5","3",14.584356
"237","5","3",14.538858
"238","5","3",14.632834
"239","5","3",14.384468
"240","5","3",14.626509
"241","5","3",14.325236
"242","5","3",14.483798
"243","5","3",14.592369
"244","5","3",14.559811
"245","5","3",14.518358
"246","5","3",14.639533
"247","5","3",14.591148
"248","5","3",14.240553
"249","5","3",14.046719
"250","5","3",14.281382
"251","5","3",14.1524315
"252","5","3",14.085615
